"Field","Value"
"address1","Carrera 13 #26-45"
"address2","8th Floor"
"city","Bogotá"
"country","Colombia"
"phone","57 1 286 3300"
"fax","57 1 353 8834"
"website","https://www.corficolombiana.com"
"industry","Asset Management"
"industryKey","asset-management"
"industryDisp","Asset Management"
"sector","Financial Services"
"sectorKey","financial-services"
"sectorDisp","Financial Services"
"fullTimeEmployees","9944"
"maxAge","86400"
"priceHint","2"
"previousClose","14280.0"
"dayLow","14280.0"
"dayHigh","14280.0"
"regularMarketPreviousClose","14280.0"
"regularMarketDayLow","14280.0"
"regularMarketDayHigh","14280.0"
"dividendRate","2503.0"
"dividendYield","0.1714"
"exDividendDate","1715644800"
"payoutRatio","2.0324001"
"fiveYearAvgDividendYield","4.34"
"beta","0.524"
"trailingPE","17.035694"
"volume","41"
"regularMarketVolume","41"
"averageVolume","6859"
"averageVolume10days","3924"
"averageDailyVolume10Day","3924"
"bid","14000.0"
"ask","14280.0"
"askSize","40000"
"marketCap","5359770009600"
"fiftyTwoWeekLow","11120.0"
"fiftyTwoWeekHigh","16900.0"
"priceToSalesTrailing12Months","0.56168467"
"fiftyDayAverage","14052.0"
"twoHundredDayAverage","13484.3"
"currency","COP"
"enterpriseValue","21512205631488"
"profitMargins","0.03859"
"floatShares","102021974"
"sharesOutstanding","19227100"
"heldPercentInsiders","0.17443001"
"heldPercentInstitutions","0.25136"
"impliedSharesOutstanding","375334016"
"bookValue","33028.746"
"priceToBook","0.43235067"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"netIncomeToCommon","368259989504"
"trailingEps","838.24"
"lastSplitFactor","11.287612:10.287612"
"lastSplitDate","1652745600"
"enterpriseToRevenue","2.254"
"52WeekChange","0.17049181"
"SandP52WeekChange","0.25443196"
"lastDividendValue","1135.0"
"lastDividendDate","1715644800"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","PFCORFICOL.CL"
"underlyingSymbol","PFCORFICOL.CL"
"shortName","CORFICOLOMBIANA"
"longName","Corporación Financiera Colombiana S.A."
"firstTradeDateEpochUtc","1199802600"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","86a74203-9484-3f32-a181-e712d3e5e724"
"messageBoardId","finmb_874064"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","14280.0"
"recommendationKey","none"
"totalCash","6120487780352"
"totalCashPerShare","16739.53"
"totalDebt","18833616142336"
"totalRevenue","9542311084032"
"revenuePerShare","26098.21"
"returnOnAssets","0.01877"
"returnOnEquity","0.069520004"
"operatingCashflow","-282185990144"
"revenueGrowth","-0.134"
"operatingMargins","0.17588"
"financialCurrency","COP"
"trailingPegRatio",""
